"resource","consumer"
"Cuniculus_paca","Cerdocyon_thous"
"Cuniculus_paca","Leopardus_guttulus"
"Cuniculus_paca","Nasua_nasua"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Didelphis_albiventris","Cerdocyon_thous"
"Didelphis_albiventris","Leopardus_guttulus"
"Euphractus_sexcinctus","Cerdocyon_thous"
"Lepus_europaeus","Cerdocyon_thous"
"Lepus_europaeus","Sus_scrofa"
"Nasua_nasua","Cerdocyon_thous"
"Nasua_nasua","Leopardus_guttulus"
"Subulo_gouazoubira","Cerdocyon_thous"
"Sus_scrofa","Cerdocyon_thous"
"Tamandua_tetradactyla","Cerdocyon_thous"
