"resource","consumer"
"Canis_familiaris","Puma_concolor"
"Dasyprocta_azarae","Canis_familiaris"
"Dasyprocta_azarae","Didelphis_albiventris"
"Dasyprocta_azarae","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Puma_concolor"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Puma_concolor"
"Hydrochoerus_hydrochaeris","Canis_familiaris"
"Hydrochoerus_hydrochaeris","Puma_concolor"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Puma_concolor"
"Lepus_europaeus","Sus_scrofa"
"Puma_concolor","Canis_familiaris"
"Sus_scrofa","Canis_familiaris"
"Sus_scrofa","Puma_concolor"
"Sylvilagus_brasiliensis","Canis_familiaris"
"Sylvilagus_brasiliensis","Puma_concolor"
"Tamandua_tetradactyla","Canis_familiaris"
"Tamandua_tetradactyla","Puma_concolor"
