"resource","consumer"
"Chrysocyon_brachyurus","Canis_familiaris"
"Conepatus_semistriatus","Canis_familiaris"
"Conepatus_semistriatus","Chrysocyon_brachyurus"
"Conepatus_semistriatus","Leopardus_pardalis"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Dicotyles_tajacu","Canis_familiaris"
"Dicotyles_tajacu","Chrysocyon_brachyurus"
"Dicotyles_tajacu","Leopardus_pardalis"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Leopardus_pardalis"
"Leopardus_pardalis","Canis_familiaris"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Myrmecophaga_tridactyla","Canis_familiaris"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Canis_familiaris"
"Subulo_gouazoubira","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Leopardus_pardalis"
"Sylvilagus_brasiliensis","Canis_familiaris"
"Sylvilagus_brasiliensis","Chrysocyon_brachyurus"
"Sylvilagus_brasiliensis","Leopardus_pardalis"
