"resource","consumer"
"Canis_familiaris","Puma_concolor"
"Cerdocyon_thous","Canis_familiaris"
"Cerdocyon_thous","Leopardus_pardalis"
"Cerdocyon_thous","Puma_concolor"
"Dasyprocta_azarae","Canis_familiaris"
"Dasyprocta_azarae","Cerdocyon_thous"
"Dasyprocta_azarae","Didelphis_albiventris"
"Dasyprocta_azarae","Felis_catus"
"Dasyprocta_azarae","Leopardus_pardalis"
"Dasyprocta_azarae","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Dasypus_novemcinctus","Procyon_cancrivorus"
"Dasypus_novemcinctus","Puma_concolor"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Cerdocyon_thous"
"Didelphis_albiventris","Felis_catus"
"Didelphis_albiventris","Leopardus_pardalis"
"Didelphis_albiventris","Procyon_cancrivorus"
"Didelphis_albiventris","Puma_concolor"
"Felis_catus","Canis_familiaris"
"Felis_catus","Cerdocyon_thous"
"Felis_catus","Puma_concolor"
"Leopardus_pardalis","Canis_familiaris"
"Leopardus_pardalis","Puma_concolor"
"Myrmecophaga_tridactyla","Canis_familiaris"
"Myrmecophaga_tridactyla","Puma_concolor"
"Procyon_cancrivorus","Canis_familiaris"
"Procyon_cancrivorus","Leopardus_pardalis"
"Procyon_cancrivorus","Puma_concolor"
"Puma_concolor","Canis_familiaris"
