"resource","consumer"
"Canis_familiaris","Puma_concolor"
"Cerdocyon_thous","Canis_familiaris"
"Cerdocyon_thous","Chrysocyon_brachyurus"
"Cerdocyon_thous","Puma_concolor"
"Chrysocyon_brachyurus","Canis_familiaris"
"Chrysocyon_brachyurus","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Puma_concolor"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Cerdocyon_thous"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Puma_concolor"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Cerdocyon_thous"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Lepus_europaeus","Puma_concolor"
"Puma_concolor","Canis_familiaris"
"Subulo_gouazoubira","Canis_familiaris"
"Subulo_gouazoubira","Cerdocyon_thous"
"Subulo_gouazoubira","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Puma_concolor"
