"resource","consumer"
"Chrysocyon_brachyurus","Canis_familiaris"
"Dasyprocta_azarae","Canis_familiaris"
"Dasyprocta_azarae","Chrysocyon_brachyurus"
"Dasyprocta_azarae","Didelphis_albiventris"
"Dasyprocta_azarae","Eira_barbara"
"Dasyprocta_azarae","Leopardus_pardalis"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Eira_barbara"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Eira_barbara"
"Didelphis_albiventris","Leopardus_pardalis"
"Eira_barbara","Canis_familiaris"
"Eira_barbara","Leopardus_pardalis"
"Hydrochoerus_hydrochaeris","Canis_familiaris"
"Hydrochoerus_hydrochaeris","Chrysocyon_brachyurus"
"Hydrochoerus_hydrochaeris","Leopardus_pardalis"
"Leopardus_pardalis","Canis_familiaris"
"Myrmecophaga_tridactyla","Canis_familiaris"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Canis_familiaris"
"Subulo_gouazoubira","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Eira_barbara"
"Subulo_gouazoubira","Leopardus_pardalis"
"Sylvilagus_brasiliensis","Canis_familiaris"
"Sylvilagus_brasiliensis","Chrysocyon_brachyurus"
"Sylvilagus_brasiliensis","Eira_barbara"
"Sylvilagus_brasiliensis","Leopardus_pardalis"
