"resource","consumer"
"Cabassous_tatouay","Canis_familiaris"
"Cabassous_tatouay","Chrysocyon_brachyurus"
"Cabassous_tatouay","Eira_barbara"
"Cabassous_tatouay","Leopardus_pardalis"
"Cabassous_tatouay","Procyon_cancrivorus"
"Cabassous_tatouay","Puma_concolor"
"Canis_familiaris","Puma_concolor"
"Chrysocyon_brachyurus","Canis_familiaris"
"Chrysocyon_brachyurus","Puma_concolor"
"Conepatus_semistriatus","Canis_familiaris"
"Conepatus_semistriatus","Chrysocyon_brachyurus"
"Conepatus_semistriatus","Leopardus_pardalis"
"Conepatus_semistriatus","Puma_concolor"
"Cuniculus_paca","Canis_familiaris"
"Cuniculus_paca","Chrysocyon_brachyurus"
"Cuniculus_paca","Leopardus_guttulus"
"Cuniculus_paca","Leopardus_pardalis"
"Cuniculus_paca","Nasua_nasua"
"Cuniculus_paca","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Eira_barbara"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Dasypus_novemcinctus","Procyon_cancrivorus"
"Dasypus_novemcinctus","Puma_concolor"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Eira_barbara"
"Didelphis_albiventris","Leopardus_guttulus"
"Didelphis_albiventris","Leopardus_pardalis"
"Didelphis_albiventris","Procyon_cancrivorus"
"Didelphis_albiventris","Puma_concolor"
"Eira_barbara","Canis_familiaris"
"Eira_barbara","Leopardus_pardalis"
"Eira_barbara","Puma_concolor"
"Leopardus_guttulus","Canis_familiaris"
"Leopardus_guttulus","Leopardus_pardalis"
"Leopardus_guttulus","Puma_concolor"
"Leopardus_pardalis","Canis_familiaris"
"Leopardus_pardalis","Puma_concolor"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Lepus_europaeus","Puma_concolor"
"Lepus_europaeus","Sus_scrofa"
"Myrmecophaga_tridactyla","Canis_familiaris"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Myrmecophaga_tridactyla","Puma_concolor"
"Nasua_nasua","Canis_familiaris"
"Nasua_nasua","Chrysocyon_brachyurus"
"Nasua_nasua","Eira_barbara"
"Nasua_nasua","Leopardus_guttulus"
"Nasua_nasua","Leopardus_pardalis"
"Nasua_nasua","Puma_concolor"
"Procyon_cancrivorus","Canis_familiaris"
"Procyon_cancrivorus","Chrysocyon_brachyurus"
"Procyon_cancrivorus","Leopardus_pardalis"
"Procyon_cancrivorus","Puma_concolor"
"Puma_concolor","Canis_familiaris"
"Sus_scrofa","Canis_familiaris"
"Sus_scrofa","Leopardus_pardalis"
"Sus_scrofa","Procyon_cancrivorus"
"Sus_scrofa","Puma_concolor"
