"resource","consumer"
"Cerdocyon_thous","Chrysocyon_brachyurus"
"Cerdocyon_thous","Leopardus_pardalis"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Eira_barbara"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Didelphis_albiventris","Cerdocyon_thous"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Eira_barbara"
"Didelphis_albiventris","Leopardus_pardalis"
"Eira_barbara","Leopardus_pardalis"
"Lepus_europaeus","Cerdocyon_thous"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Cerdocyon_thous"
"Subulo_gouazoubira","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Eira_barbara"
"Subulo_gouazoubira","Leopardus_pardalis"
