"resource","consumer"
"Cabassous_tatouay","Canis_familiaris"
"Cabassous_tatouay","Cerdocyon_thous"
"Cabassous_tatouay","Eira_barbara"
"Cabassous_tatouay","Herpailurus_yagouaroundi"
"Cabassous_tatouay","Procyon_cancrivorus"
"Cabassous_tatouay","Puma_concolor"
"Canis_familiaris","Puma_concolor"
"Cerdocyon_thous","Canis_familiaris"
"Cerdocyon_thous","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Dasypus_novemcinctus","Eira_barbara"
"Dasypus_novemcinctus","Herpailurus_yagouaroundi"
"Dasypus_novemcinctus","Procyon_cancrivorus"
"Dasypus_novemcinctus","Puma_concolor"
"Eira_barbara","Canis_familiaris"
"Eira_barbara","Puma_concolor"
"Herpailurus_yagouaroundi","Canis_familiaris"
"Herpailurus_yagouaroundi","Puma_concolor"
"Leopardus_guttulus","Canis_familiaris"
"Leopardus_guttulus","Puma_concolor"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Cerdocyon_thous"
"Lepus_europaeus","Herpailurus_yagouaroundi"
"Lepus_europaeus","Puma_concolor"
"Lepus_europaeus","Sus_scrofa"
"Nasua_nasua","Canis_familiaris"
"Nasua_nasua","Cerdocyon_thous"
"Nasua_nasua","Eira_barbara"
"Nasua_nasua","Herpailurus_yagouaroundi"
"Nasua_nasua","Leopardus_guttulus"
"Nasua_nasua","Puma_concolor"
"Procyon_cancrivorus","Canis_familiaris"
"Procyon_cancrivorus","Herpailurus_yagouaroundi"
"Procyon_cancrivorus","Puma_concolor"
"Puma_concolor","Canis_familiaris"
"Sus_scrofa","Canis_familiaris"
"Sus_scrofa","Cerdocyon_thous"
"Sus_scrofa","Procyon_cancrivorus"
"Sus_scrofa","Puma_concolor"
"Tamandua_tetradactyla","Canis_familiaris"
"Tamandua_tetradactyla","Cerdocyon_thous"
"Tamandua_tetradactyla","Puma_concolor"
