"resource","consumer"
"Canis_familiaris","Puma_concolor"
"Cerdocyon_thous","Canis_familiaris"
"Cerdocyon_thous","Chrysocyon_brachyurus"
"Cerdocyon_thous","Puma_concolor"
"Chrysocyon_brachyurus","Canis_familiaris"
"Chrysocyon_brachyurus","Puma_concolor"
"Conepatus_semistriatus","Canis_familiaris"
"Conepatus_semistriatus","Chrysocyon_brachyurus"
"Conepatus_semistriatus","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Puma_concolor"
"Hydrochoerus_hydrochaeris","Canis_familiaris"
"Hydrochoerus_hydrochaeris","Chrysocyon_brachyurus"
"Hydrochoerus_hydrochaeris","Puma_concolor"
"Myrmecophaga_tridactyla","Canis_familiaris"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Myrmecophaga_tridactyla","Puma_concolor"
"Puma_concolor","Canis_familiaris"
"Subulo_gouazoubira","Canis_familiaris"
"Subulo_gouazoubira","Cerdocyon_thous"
"Subulo_gouazoubira","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Puma_concolor"
"Sylvilagus_brasiliensis","Canis_familiaris"
"Sylvilagus_brasiliensis","Cerdocyon_thous"
"Sylvilagus_brasiliensis","Chrysocyon_brachyurus"
"Sylvilagus_brasiliensis","Puma_concolor"
"Tamandua_tetradactyla","Canis_familiaris"
"Tamandua_tetradactyla","Cerdocyon_thous"
"Tamandua_tetradactyla","Chrysocyon_brachyurus"
"Tamandua_tetradactyla","Puma_concolor"
