"resource","consumer"
"Canis_familiaris","Puma_concolor"
"Chrysocyon_brachyurus","Canis_familiaris"
"Chrysocyon_brachyurus","Puma_concolor"
"Conepatus_semistriatus","Canis_familiaris"
"Conepatus_semistriatus","Chrysocyon_brachyurus"
"Conepatus_semistriatus","Leopardus_pardalis"
"Conepatus_semistriatus","Puma_concolor"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Eira_barbara"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Dasypus_novemcinctus","Puma_concolor"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Eira_barbara"
"Didelphis_albiventris","Leopardus_pardalis"
"Didelphis_albiventris","Puma_concolor"
"Eira_barbara","Canis_familiaris"
"Eira_barbara","Leopardus_pardalis"
"Eira_barbara","Puma_concolor"
"Hydrochoerus_hydrochaeris","Canis_familiaris"
"Hydrochoerus_hydrochaeris","Chrysocyon_brachyurus"
"Hydrochoerus_hydrochaeris","Leopardus_pardalis"
"Hydrochoerus_hydrochaeris","Puma_concolor"
"Leopardus_pardalis","Canis_familiaris"
"Leopardus_pardalis","Puma_concolor"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Lepus_europaeus","Puma_concolor"
"Lepus_europaeus","Sus_scrofa"
"Puma_concolor","Canis_familiaris"
"Sus_scrofa","Canis_familiaris"
"Sus_scrofa","Leopardus_pardalis"
"Sus_scrofa","Puma_concolor"
"Sylvilagus_brasiliensis","Canis_familiaris"
"Sylvilagus_brasiliensis","Chrysocyon_brachyurus"
"Sylvilagus_brasiliensis","Eira_barbara"
"Sylvilagus_brasiliensis","Leopardus_pardalis"
"Sylvilagus_brasiliensis","Puma_concolor"
